VIN,Territory,Class,Loss1,Loss2
19UUA66234A052184,1,A,0,0
19UUA66235A011328,4,A,0,0
19UUA66235A013242,4,A,0,0
19UUA66235A045401,3,A,0,0
19UUA66235A062537,5,A,0,0
19UUA66236A013792,1,M,0,0
19UUA66244A007240,4,A,0,0
19UUA66244A035992,1,A,0,0
19UUA66245A001584,6,A,0,0
19UUA66245A032902,1,A,0,0
19UUA66246A028687,4,A,0,0
19UUA66246A075900,2,A,0,0
19UUA66254A013810,1,A,0,0
19UUA66254A063347,3,A,0,0
19UUA66254A064238,4,A,0,0
19UUA66255A064659,3,A,0,0
19UUA66264A017400,2,A,0,0
19UUA66264A062384,3,A,0,0
19UUA66265A012991,6,A,0,0
19UUA66265A065075,5,S,0,0
19UUA66266A023264,5,M,527,0
19UUA66275A007430,4,A,0,0
19UUA66275A015270,1,A,0,0
19UUA66275A032859,1,S,0,0
19UUA66275A040024,1,S,0,0
19UUA66275A045238,3,A,0,0
19UUA66276A070111,4,A,0,0
19UUA66284A002090,6,M,0,0
19UUA66284A026941,2,A,0,0
19UUA66284A047255,2,I,0,0
19UUA66285A008702,1,A,0,0
19UUA66285A078457,5,A,0,0
19UUA66286A032774,4,A,41533,0
19UUA66286A074118,4,A,0,0
19UUA66294A015009,6,A,0,0
19UUA66294A047944,2,A,0,0
19UUA66294A055722,1,A,0,0
19UUA66295A001614,6,A,0,0
19UUA66295A008403,2,B,0,0
19UUA66295A015013,5,A,0,0
19UUA66295A020597,2,B,0,0
19UUA66295A052045,2,A,0,0
19UUA66295A064373,2,A,0,0
19UUA66296A057523,3,A,0,0
19UUA66296A077741,4,A,0,0
19UUA662X4A033759,2,A,0,0
19UUA662X5A069775,1,S,0,0
19UUA662X6A057496,2,A,0,0
19UUA662X6A061340,1,A,0,0
19UUA662X6A075450,1,A,0,0
19UYA1140VL023423,6,A,0,0
19UYA1148VL017952,1,A,0,0
19UYA1256VL010537,1,A,0,0
19UYA1257VL006254,6,A,0,0
19UYA2246WL004039,3,A,0,0
19UYA2249VL012263,6,S,0,0
19UYA2250XL005116,4,A,1027,0
19UYA2251WL009903,6,I,0,0
19UYA2251XL009871,4,A,0,0
19UYA2254WL009913,1,A,0,0
19UYA2255WL011895,4,A,0,0
19UYA2257WL011896,1,A,0,0
19UYA2259XL001498,4,A,0,0
19UYA2259XL002795,6,A,0,0
19UYA225XVL017979,6,S,0,0
19UYA225XXL011781,5,M,0,0
19UYA3250XL000763,5,A,0,0
19UYA3251WL004643,6,A,0,0
19UYA3254XL000118,3,A,0,0
19UYA3256WL006095,6,M,0,0
19UYA3258WL008303,4,A,0,0
19UYA41623A005159,6,I,0,0
19UYA42401A022150,4,S,0,0
19UYA42411A017488,1,A,0,0
19UYA42412A004712,1,A,0,0
19UYA42451A008583,1,A,0,0
19UYA42473A005347,2,A,0,0
19UYA42492A000519,3,A,0,0
19UYA42601A028080,3,A,0,0
19UYA42621A006906,1,A,0,0
19UYA42631A009636,4,A,0,0
19UYA42641A005028,3,A,0,0
19UYA42641A006518,5,A,0,0
19UYA42641A035467,5,A,0,0
19UYA426X1A018382,6,A,0,0
19UYA42711A001530,6,A,0,0
1A4GP45R06B506170,5,A,0,0
1A4GP45R16B549013,4,S,0,0
1A4GP45R26B504503,6,M,0,0
1A4GP45R26B537355,5,A,0,0
1A4GP45R46B608202,2,A,0,0
1A4GP45R56B529105,4,S,0,0
1A4GP45R86B761293,2,A,0,0
1A4GP45RX6B530282,2,S,0,0
1A4GP45RX6B533277,4,A,0,0
1A4GP45RX6B746598,3,A,0,0
1B3AA4631RF201329,1,I,0,0
1B3AA4632SF531289,6,S,0,0
1B3AA46K9RF313254,2,A,0,0
1B3AA46KXRF178284,1,S,0,0
1B3AJ46XX1N679133,2,S,48407,7265
1B3AP28D1RN110611,5,I,0,0
1B3AP28D3RN114580,5,A,0,0
1B3AP28D6RN155513,1,M,0,0
1B3AP28D8RN212312,5,A,0,0
1B3AP28K0RN136003,4,A,0,0
1B3AP6434RN147981,1,A,0,0
1B3AS46C42D517399,1,A,0,0
1B3AS56C62D645651,5,A,0,0
1B3AS56C75D239611,5,S,0,0
1B3BA46K5KF459516,6,S,0,0
1B3BA46K5KF483590,5,M,0,0
1B3BC4639KD442815,5,S,0,0
1B3BC5639KD475982,4,A,0,0
1B3BD46K6JC152203,3,A,0,0
1B3BG26P4HX792419,4,S,0,0
1B3BV55E2EG243272,1,A,0,0
1B3ED46TXRF198200,4,B,0,0
1B3ED56FXRF159784,6,M,0,0
1B3ED56T6RF174272,4,A,0,0
